question,label
How many states have a population of less than one million people?,"{""answerText"": ""6"", ""category"": ""geography"", ""complexityType"": ""count""}"
Which actor played both Captain Kirk and Jack Ryan?,"{""answerText"": ""Chris Pine"", ""category"": ""movies"", ""complexityType"": ""intersection""}"
Which Carl Sagan book is not one of his many non-fiction writings?,"{""answerText"": ""Contact"", ""category"": ""books"", ""complexityType"": ""difference""}"
What is the deepest river in the world?,"{""answerText"": ""the Congo River"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
Did the second Harry Potter book come out before 2000?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""comparative""}"
Who played Rocky Balboa in the movie Rocky?,"{""answerText"": ""Sylvester Stallone"", ""category"": ""movies"", ""complexityType"": ""generic""}"
Who is the tallest actress?,"{""answerText"": ""dorothy ford"", ""category"": ""movies"", ""complexityType"": ""superlative""}"
Did Old Town Road come out the same year as New Rules?,"{""answerText"": ""No"", ""category"": ""music"", ""complexityType"": ""comparative""}"
How many adoptive children did Julius Caesar have?,"{""answerText"": ""1"", ""category"": ""history"", ""complexityType"": ""count""}"
What was the fiftieth state to join the United States?,"{""answerText"": ""Hawaii"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
Is Chuck Grassley older than Mitt Romney?,"{""answerText"": ""Yes"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
"Was ""Turn the Page"" written by Metallica?","{""answerText"": ""No"", ""category"": ""music"", ""complexityType"": ""yesno""}"
How many Academy Awards has Anne Hathaway won?,"{""answerText"": ""1"", ""category"": ""movies"", ""complexityType"": ""count""}"
How many countries are there in Asia?,"{""answerText"": ""48"", ""category"": ""geography"", ""complexityType"": ""count""}"
Which BioShock game featured Zachary Hale Comstock as a villain?,"{""answerText"": ""BioShock Infinite"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
"How many countries in Asia have a population under 1,000,000?","{""answerText"": ""4"", ""category"": ""geography"", ""complexityType"": ""count""}"
Which Grand Theft Auto game is playable on Playstation 3 and takes place in Liberty City?,"{""answerText"": ""Grant Theft Auto 4"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
Which game series has more entries: FIFA or NBA 2K?,"{""answerText"": ""FIFA"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
Is the Caspian Sea larger than Lake Superior?,"{""answerText"": ""Yes"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
Who wrote the Fantastic Mr. Fox?,"{""answerText"": ""Roald Dahl"", ""category"": ""books"", ""complexityType"": ""generic""}"
Which war did the author of Catcher in the Rye fight in?,"{""answerText"": ""World War II"", ""category"": ""books"", ""complexityType"": ""multihop""}"
How many Friday movies are there?,"{""answerText"": ""3"", ""category"": ""movies"", ""complexityType"": ""count""}"
What movie in the first trilogy was directed by Quentin Tarantino and starred Uma Thurman?,"{""answerText"": ""Kill Bill"", ""category"": ""movies"", ""complexityType"": ""intersection""}"
"Who sold more records, Beyoncé or Katy Perry?","{""answerText"": ""Katy Perry"", ""category"": ""music"", ""complexityType"": ""comparative""}"
When did the author who wrote A Portrait of the Artist as a Young Man die?,"{""answerText"": ""13-Jan-41"", ""category"": ""books"", ""complexityType"": ""multihop""}"
Did the Allies invade Normandy in 1944?,"{""answerText"": ""Yes"", ""category"": ""history"", ""complexityType"": ""yesno""}"
Does Harry Potter die in the last book?,"{""answerText"": ""No"", ""category"": ""books"", ""complexityType"": ""yesno""}"
What was the name of the first Jack Reacher novel?,"{""answerText"": ""Killing Floor"", ""category"": ""books"", ""complexityType"": ""generic""}"
Who was the wife of the president during the Civil War?,"{""answerText"": ""Mary Todd Lincoln"", ""category"": ""history"", ""complexityType"": ""multihop""}"
How many countries were originally in NATO?,"{""answerText"": ""12"", ""category"": ""history"", ""complexityType"": ""count""}"
"Which river is longer, the Colorado or the Mississippi?","{""answerText"": ""Mississippi"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
Was The Karate Kid released in 1979?,"{""answerText"": ""No"", ""category"": ""movies"", ""complexityType"": ""yesno""}"
What's the largest city in the world by population?,"{""answerText"": ""Tokyo"", ""category"": ""geography"", ""complexityType"": ""generic""}"
Has Amy Klobuchar served in the Senate longer than Mitch McConnell?,"{""answerText"": ""No"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
Who is the youngest person to win a Grammy?,"{""answerText"": ""Leah Peasall"", ""category"": ""music"", ""complexityType"": ""superlative""}"
"Which state has an older governor, Maine or Alaska?","{""answerText"": ""Maine"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
What is the first Twilight movie?,"{""answerText"": ""Twilight"", ""category"": ""movies"", ""complexityType"": ""ordinal""}"
"Of the first 4 Diary of a Wimpy Kid books, which one does not have a cover that is a primary color?","{""answerText"": ""The Last Straw"", ""category"": ""books"", ""complexityType"": ""difference""}"
What is the first tallest mountain in the world?,"{""answerText"": ""Mt. Everest"", ""category"": ""geography"", ""complexityType"": ""ordinal""}"
What team is Mookie Betts playing for in 2020?,"{""answerText"": ""Los Angeles Dodgers"", ""category"": ""sports"", ""complexityType"": ""generic""}"
"Which state has more liberal voters, California or Oregon?","{""answerText"": ""California"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
What was seventh Final Fantasy's main antagonist?,"{""answerText"": ""Sephiroth"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
Who united Greece?,"{""answerText"": ""Alexander the Great"", ""category"": ""history"", ""complexityType"": ""generic""}"
Who is the longest serving justice on the Supreme Court?,"{""answerText"": ""William O. Douglas"", ""category"": ""history"", ""complexityType"": ""superlative""}"
What is the second Lord of the Rings book?,"{""answerText"": ""The Two Towers"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
Who was the son of Queen Dowager Zhao and went on to become the first emperor of a unified China?,"{""answerText"": ""Qin Shi Huang"", ""category"": ""history"", ""complexityType"": ""intersection""}"
When did Fortnite come out?,"{""answerText"": ""21-Jul-17"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
What is the first shortest mountain in North America?,"{""answerText"": ""Mt. Whitney"", ""category"": ""geography"", ""complexityType"": ""ordinal""}"
